# canonical	repo	path	ref	sha	content
systematic-debugging	https://github.com/obra/superpowers.git	skills/systematic-debugging	main	5bf4e78011075bcfc0dc295f0724994cd123ee71	37fd06e80f296251
tdd	https://github.com/obra/superpowers.git	skills/test-driven-development	main	5bf4e78011075bcfc0dc295f0724994cd123ee71	8e8772822d25e4df
verification-before-completion	https://github.com/obra/superpowers.git	skills/verification-before-completion	main	5bf4e78011075bcfc0dc295f0724994cd123ee71	d8a53168f152b616
writing-skills	https://github.com/obra/superpowers.git	skills/writing-skills	main	5bf4e78011075bcfc0dc295f0724994cd123ee71	a573104aeca5fbd4
grilling	https://github.com/mattpocock/skills.git	skills/productivity/grilling	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	d5833e50e0081bbf
grill-me	https://github.com/mattpocock/skills.git	skills/productivity/grill-me	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	14c292fe16c0aed8
writing-for-agents	https://github.com/mattpocock/skills.git	skills/productivity/writing-for-agents	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	dc53f07d1f662137
wait-what	https://github.com/mattpocock/skills.git	skills/productivity/wait-what	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	d8c5157780c8b493
handoff	https://github.com/mattpocock/skills.git	skills/productivity/handoff	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	fe287d0ae54ed66c
improve-codebase-architecture	https://github.com/mattpocock/skills.git	skills/engineering/improve-codebase-architecture	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	86096700ab48a5fb
unslop	https://github.com/michael-denyer/pstack-claude.git	plugins/pstack/skills/unslop	main	2fe2002190bff9257d3e27f84ba6818f2cfd7e32	bef8b37d47fea938
technical-writing	https://github.com/michael-denyer/pstack-claude.git	plugins/pstack/skills/technical-writing	main	2fe2002190bff9257d3e27f84ba6818f2cfd7e32	805817274f278d95
reflect	https://github.com/michael-denyer/pstack-claude.git	plugins/pstack/skills/reflect	main	2fe2002190bff9257d3e27f84ba6818f2cfd7e32	96254cbcad6af85a
codebase-design	https://github.com/mattpocock/skills.git	skills/engineering/codebase-design	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	826e65f8d718794b
domain-modeling	https://github.com/mattpocock/skills.git	skills/engineering/domain-modeling	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	2cc88b237a4704f9
grill-with-docs	https://github.com/mattpocock/skills.git	skills/engineering/grill-with-docs	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	2dff19547f0f7200
wizard	https://github.com/mattpocock/skills.git	skills/engineering/wizard	main	c55ee46073ed923f86ce59a5eb3b6d895095d1b7	fd918004158f826a
deslopify	https://github.com/JuliusBrussee/skills.git	skills/deslopify	main	8470b263d82579bd5b563b1e4e494472d3f0457f	ee012fdc4f935a44
